MAPS_BTnc201_logFC	MAPS_BTnc201_logCPM	MAPS_BTnc201_F	MAPS_BTnc201_p_value	MAPS_BTnc201_FDR	id_lower	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj	locus_tag
0.232061507427355	9.64464230201942	1.78539154545851	0.098817310922898	0.65266058296106	btnc271	NA	NA	NA	BTnc271
0.243846782532595	3.05563837142829	1.7906813092764	0.098500625940774	0.65266058296106	bt_0749	-4.03656205079291e-5	0.99967189304324	0.99968309770994	BT_0749
0.649605244209976	0.373690218168242	1.78136475177174	0.09905924071378	0.65266058296106	bt_2981	-0.010580576430621	0.967900242978349	0.992326393689176	BT_2981
0.677445091202185	0.42822163619857	1.7832097540802	0.098948300920738	0.65266058296106	bt_1412	-0.0085137091187	0.94982209298739	0.989795275678874	BT_1412
-0.393104048285212	1.57170625277749	1.77855714533996	1	0.653121073116836	bt_0775	0.041127849101367	0.783009774923266	0.957244492630882	BT_0775
-0.315915450461169	2.67866516379929	1.77235628884405	1	0.654279466416381	bt_1115	-0.009479662449329	0.941802156054763	0.988541046759718	BT_1115
0.577274580729578	0.823316418663537	1.77273162904295	0.099580426590312	0.654279466416381	bt_2189	-0.266221559551057	0.012197347039242	0.107802156561806	BT_2189
-0.507112762860207	1.01249902373439	1.76822950173056	1	0.655270497750768	bt_3687	0.099731750093101	0.615020071317119	0.898339380667334	BT_3687
0.634919627523452	0.439319376015952	1.76637839171037	0.099966173244154	0.655355928578704	bt_2561	-0.223612877417319	0.095183264880929	0.405443033992221	BT_2561
-0.912476539603702	-0.547548191679834	1.75368597983054	1	0.657477343574176	bt_1079	0.122286698036906	0.622053059198521	0.900352904907986	BT_1079
-0.39011841731869	1.64779094311366	1.75259539065257	1	0.657477343574176	bt_1679	-0.08287324427909	0.581353301455279	0.880087600341277	BT_1679
-0.195123594276072	4.6415843544785	1.75826458961276	1	0.657477343574176	bt_1356	-0.102431013103402	0.246254980075206	0.640858443879928	BT_1356
0.206118761471679	3.75430742122178	1.75404003766415	0.100720689914268	0.657477343574176	bt_2118	-0.121363130493845	0.173588393625052	0.548902143791666	BT_2118
0.219117430327266	3.3782056123645	1.75396547089371	0.100725271537207	0.657477343574176	bt_4323	-0.003099382437112	0.972664525816779	0.994128351945138	BT_4323
0.363751532905728	1.71922981989097	1.75077495319048	0.100921552816093	0.657477343574176	bt_2135	-0.003383628371795	0.983029393417772	0.995417579414609	BT_2135
0.746984330751012	-0.115862166740722	1.74968041993247	0.100988999445988	0.657477343574176	btnc056	NA	NA	NA	BTnc056
0.262971978405282	2.76592068033873	1.73852119778661	0.101679891086345	0.660668354521542	bt_3398	-0.096289232305398	0.263415517418177	0.659890088294897	BT_3398
0.642058609106668	0.86752556001968	1.74013028805023	0.101579902815494	0.660668354521542	bt_2630	0.090794801183171	0.559886251327122	0.868060929494042	BT_2630
-0.179257884201979	4.82151473160214	1.73220489087508	1	0.660706446228425	bt_4007	0.13600818641927	0.083331353444726	0.379289915205928	BT_4007
0.326852852578115	2.28793955658708	1.73198574942264	0.102087276787345	0.660706446228425	bt_1665	0.10506067805894	0.224793861114737	0.615591102138922	BT_1665
0.4154825465519	1.40613166463576	1.73251198738443	0.10205439789747	0.660706446228425	bt_4533	-0.137356852916434	0.144544253594633	0.498480135629371	BT_4533
